Row Labels;Sum of q2_gms
25998623612;49555.49
26008444712;6985
26012160812;-659
26012513512;496127.66
26013262012;3903.8
26020252812;75134.26
26021441212;65996.31
26026439412;5076.23
26059694712;
26076559612;1286.9
26076653712;20392.75
26081373612;51
26090818412;-16
26091727212;1370.57
26123069612;135159.19
26123127902;115280.82
26131553212;9818.84
26189306112;5752.57
26192026012;176633.33
26219929312;21216.59
26232628912;4028.17
26232910412;140765.61
26233290912;
26233325412;32607.83
26234048012;9515.81
26234162012;13170.5
26239650012;314297.58
26245328512;4177
26245365112;
26246042312;18083.98
26286147612;987108.27
26296924612;7605.48
26489381712;362081.94
26493920112;5033
26500053812;107348.83
26500559612;23039.09
26532068312;4206
26534701112;2092.96
26542317912;16946.19
26549304112;75
26549421512;
26580129612;1735
26589023312;3175.05
26597840912;8773.57
26616925712;154598.76
26631007712;16932.39
26644041512;1845
26654052012;147
26674568412;50347.9
26689035812;292231.49
26695179612;254992.13
26700663312;2209
26742741412;15548.18
26831216712;
26832506712;32.78
26851774412;5555
26879334212;208891.34
26908936412;8246.27
26959955412;
26961562612;32201.07
27005483412;
27033666612;252890.16
27041771112;96754.68
27066636812;
27068122612;1089.29
27127294312;13902.85
27129519412;2283966.7
27190218612;515711.27
27226027512;86782.75
27226481212;2993
27237668715;
27271880412;284
27274981412;23766.62
27284364712;
27294393812;4726.21
27302468612;
27319314512;2681
27320630612;4199.2
27385649412;1396
27456364612;
27502920412;749.7
27544632012;27205.84
27552782412;9098.21
27605814312;
27605907512;5555.94
27616599112;308472.22
27625904812;22053.7
27628559012;9635.29
27657558412;399
27666335012;9257.54
27676908312;8626.11
27681713812;33481.52
27689515812;21895.45
27726064312;8079.88
27731797812;15167.24
27744322212;387
27783317612;
27792682812;
27800114112;15687.92
27823550605;
27850145912;41119.59
27921694512;65
27975306412;2478.8
27996887712;
28026383312;249.9
28027001512;3082.47
28054219915;23349.56
28055209815;13583.5
28066814612;134545.34
28101623912;41560.56
28103074112;4406
28104697712;5934.79
28106984112;197
28113101212;957.5
28124418212;4479.57
28134119412;5473.3
28255015212;1905
28255189712;69
28266273612;
28266425912;7549.8
28309223312;325
28309540712;863
28317520812;15652.59
28319179212;58
28321858312;449.92
28373531012;36956.34
28411688912;9345
28414236412;56789.49
28519061812;549712.1
28524605912;37597.53
28622961912;1129
28623283912;1730.6
28667739212;12019.3
28683833712;
28724412712;3904
28805745212;3852.9
28842854215;1899.6
28860824712;19403.89
28863975912;14002.72
28926664912;
29047269012;
29173015912;711.45
29189631212;1699.9
29315910412;1670576.79
29321979212;4231
29361952812;
29467110312;1233.45
29467237012;7260.83
29516713112;7856.66
29607872012;2985.8
29610577512;270.88
29657394412;20982.66
29690182512;66145.02
29719366612;605
29747198212;40375.85
29825755912;3817.94
29971358212;339569.01
30249558712;
30419981212;1159028.94
30544282612;
30630695612;6437
30659727812;5655.82
30840306212;3853.08
30872955212;3823
30920967812;1599
31037305002;2599
31089728512;61114.56
31142861712;5467.49
31214225715;
31261955812;3449.96
31337952012;278
31349847712;13004.48
31368685912;70917.93
31458682212;3282
31501123112;3767
31511105612;
31520018312;66178.14
31520346612;1599
31615791612;1566.34
31640380312;19524.45
31657271212;-261
31842547912;4799.8
31954890512;1132838.78
31966508512;-5399
32021961212;-1355
32022597612;4729.8
32039831412;1398279.93
32200667612;1969
32213712012;7730.72
32232432615;856.9
32233707612;99
32275337212;75575.9
32385639815;78740.37
32438916912;2419.89
32446386312;33156.28
32466394712;712.5
32481657312;154350.69
32481760712;
32481778512;
32498444102;
32589813212;20927.43
32599574112;11997.16
32605215712;2399.4
32611155912;5889.53
32646636912;
32652731312;507.8
32652781812;139191.84
32653108812;565.05
32653739512;2279.6
32654110212;4
32654194712;69360.15
32654666412;3453.55
32654957112;55567.25
32655011012;30857.7
32655038112;1322.19
32655245412;6567.9
32655441012;
32656025412;192
32656381112;254
